Year,Month,Headline Count
2003,10,1
2004,1,1
2004,7,1
2004,12,1
2005,7,1
2006,6,1
2007,1,1
2007,2,1
2007,3,1
2007,6,1
2007,7,1
2008,1,1
2008,4,1
2008,5,1
2009,1,1
2009,3,1
2009,4,1
2009,9,2
2009,10,7
2009,11,1
2009,12,8
2010,1,6
2010,2,3
2010,3,10
2010,4,13
2010,5,12
2010,6,6
2010,7,22
2010,8,8
2010,9,22
2010,10,19
2010,11,4
2010,12,2
2011,1,14
2011,2,6
2011,3,10
2011,4,20
2011,5,3
2011,6,4
2011,7,10
2011,8,5
2011,9,5
2011,10,21
2011,11,23
2011,12,16
2012,1,16
2012,2,13
2012,3,14
2012,4,15
2012,5,15
2012,6,12
2012,7,16
2012,8,13
2012,9,10
2012,10,18
2012,11,7
2012,12,7
2013,1,11
2013,2,11
2013,3,9
2013,4,15
2013,5,10
2013,6,2
2013,7,2
2013,8,10
2013,9,9
2013,10,15
2013,11,4
2013,12,5
2014,1,17
2014,2,4
2014,3,5
2014,4,17
2014,5,8
2014,6,7
2014,7,31
2014,8,11
2014,9,9
2014,10,27
2014,11,15
2014,12,21
2015,1,28
2015,2,15
2015,3,15
2015,4,29
2015,5,16
2015,6,14
2015,7,28
2015,8,16
2015,9,17
2015,10,32
2015,11,6
2015,12,12
2016,1,23
2016,2,17
2016,3,15
2016,4,30
2016,5,6
2016,6,11
2016,7,10
2016,8,11
2016,9,16
2016,10,45
2016,11,18
2016,12,15
2017,1,33
2017,2,5
2017,3,18
2017,4,14
2017,5,20
2017,6,13
2017,7,29
2017,8,11
2017,9,9
2017,10,32
2017,11,8
2017,12,6
2018,1,33
2018,2,5
2018,3,11
2018,4,36
2018,5,12
2018,6,22
2018,7,44
2018,8,12
2018,9,15
2018,10,71
2018,11,28
2018,12,22
2019,1,38
2019,2,15
2019,3,14
2019,4,37
2019,5,12
2019,6,29
2019,7,34
2019,8,18
2019,9,7
2019,10,38
2019,11,9
2019,12,14
2020,1,38
2020,2,23
2020,3,16
2020,4,31
2020,5,5
2020,6,11
2020,7,1
2020,8,1
2020,9,1
2021,5,4
2021,7,1
2021,9,1
2021,10,3
2021,11,3
2022,2,2
2022,6,2
2022,11,14
2022,12,89
2023,1,108
2023,2,78
2023,3,87
2023,4,126
2023,5,188
2023,6,116
2023,7,72
2023,8,118
2023,9,101
2023,10,68
2023,11,5
2023,12,12
2024,4,7
2024,5,13
2024,6,4
2024,7,4
2024,8,5
2024,9,1
2024,10,4
2024,11,2
2024,12,9
